76147, 67623, 48945, 57742, 26871, 41422, 45199, 63362, 88012, 9309, 51561, 27822, 93633, 36907, 95025, 32728, 247, 77413, 73272, 73093, 45844, 66414, 35822, 6333, 53442, 
21782, 42964, 21185, 26853, 82834, 33775, 57793, 56614, 48533, 34373, 68255, 4840, 9957, 78388, 45958, 12423, 85765, 44128, 67, 95803, 20231, 68859, 13191, 64999, 15897, 
93272, 27401, 65458, 25038, 37184, 90380, 16552, 39634, 30550, 69944, 23414, 65548, 70369, 108, 47680, 13269, 22619, 67998, 928, 69559, 81710, 98815, 42231, 13217, 7082, 
38306, 73076, 10242, 31335, 88098, 13712, 77346, 75315, 13314, 99294, 14285, 53050, 847, 65002, 44009, 72243, 62808, 15137, 41170, 68656, 85996, 8668, 10046, 75244, 58957, 
38403, 96324, 31450, 13983, 27696, 8424, 55339, 60000, 60759, 77896, 69047, 84789, 65840, 30164, 51774, 50952, 74784, 29554, 5456, 89791, 95467, 49488, 11274, 49958, 59392, 
52828, 97769, 98688, 93392, 13198, 86081, 56838, 36541, 68294, 76272, 95445, 77036, 1668, 6753, 26218, 3982, 6046, 78928, 50661, 62857, 50104, 41543, 70181, 8242, 53656, 
61604, 27746, 30990, 51130, 20319, 80806, 53639, 39073, 63429, 83452, 68105, 6611, 69867, 72995, 84646, 5790, 8621, 43448, 45337, 60883, 30929, 74169, 74065, 11944, 70790, 
70149, 16383, 95301, 52300, 78298, 72076, 16696, 12693, 78112, 26876, 88641, 77143, 2935, 80710, 27198, 6387, 71232, 57665, 7707, 45519, 36012, 49961, 56688, 36768, 25511, 
10290, 57391, 72277, 22840, 50882, 4403, 86292, 24455, 47176, 38297, 15008, 93116, 85748, 55286, 91394, 74066, 41936, 32180, 41625, 72028, 27125, 7788, 37280, 50204, 90194, 
17934, 80433, 98141, 95407, 6892, 46509, 28230, 84484, 32730, 55309, 796, 20067, 56380, 30390, 62271, 46392, 59169, 49336, 77261, 19542, 90044, 76048, 24512, 637, 41003, 
23299, 34642, 83957, 87719, 95099, 146, 65730, 84900, 72721, 10394, 52981, 23816, 49202, 5989, 99695, 71165, 9302, 92127, 89728, 51975, 70084, 37249, 97455, 8490, 9557, 
13351, 81996, 7483, 56782, 43498, 96421, 23677, 26099, 31500, 80081, 70072, 73535, 31805, 27195, 7468, 20271, 77993, 58470, 15541, 16437, 46605, 40651, 53592, 96463, 20763, 
30830, 26500, 11991, 15761, 68605, 82638, 69687, 4032, 83592, 32779, 9121, 24821, 35574, 51345, 67718, 26016, 99067, 3108, 40439, 45220, 74807, 24985, 46204, 80389, 13979, 
1195, 83037, 98256, 13071, 82367, 37223, 63029, 64468, 58232, 25882, 81274, 2180, 6447, 90249, 44343, 12879, 90507, 82935, 33154, 4269, 46099, 16798, 57388, 82168, 39499, 
2948, 68321, 17280, 21471, 18715, 27985, 88342, 3464, 61917, 24578, 29510, 41199, 55068, 6097, 27977, 13723, 19945, 88465, 52581, 63075, 80216, 79484, 98940, 78191, 35911, 
54451, 48467, 91267, 50239, 38838, 17981, 31887, 21902, 89576, 77853, 5859, 99153, 52943, 76684, 99960, 97397, 10013, 65686, 26652, 81628, 91725, 5590, 99639, 21941, 84650, 
79739, 35480, 83922, 84522, 17610, 59251, 80621, 69762, 91398, 2820, 70056, 94755, 56360, 56310, 18823, 98800, 88162, 49222, 30905, 49043, 9025, 23262, 21880, 52644, 68, 
91789, 20146, 13048, 71693, 91878, 84428, 32358, 2191, 58660, 91722, 77436, 84648, 86066, 96055, 37359, 94192, 39559, 10103, 30176, 13645, 15750, 94869, 79184, 96066, 64918, 
17420, 96874, 69356, 92884, 78699, 22323, 58895, 17535, 30682, 68849, 12734, 72883, 94878, 94869, 39160, 99428, 96518, 3238, 60238, 92103, 96753, 22089, 56555, 93668, 14064, 
74534, 23799, 98237, 16788, 88532, 8872, 70896, 63910, 88665, 44662, 26521, 24954, 6779, 25665, 10803, 128, 38593, 73258, 96910, 88455, 49308, 37871, 54602, 10142, 47948, 
